global_step,grad_norm,loss,lr,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,37.126244,31.978859,0.0,,,,,,,,,,,,,,
1,,,,31.327465,1.6591685234158633,31.066357,1.539753033974724,5348.0,31.025118,1.582454857514269,2472.0,58.280192136764526,248.2567217350006,58.280192136764526,189.976482629776,0.0,0.0
1,37.358696,31.896477,0.00024354458,,,,,,,,,,,,,,
2,64.03169,30.72679,0.00048720837,,,,,,,,,,,,,,
3,116.546005,22.229456,0.00073075294,,,,,,,,,,,,,,
4,12.092241,7.7055116,0.00097441673,,,,,,,,,,,,,,
5,24.204365,9.370692,0.0012180805,,,,,,,,,,,,,,
6,24.584364,9.65675,0.0014616251,,,,,,,,,,,,,,
7,19.011215,8.533767,0.0017051697,,,,,,,,,,,,,,
8,31.606007,7.9288597,0.0019487143,,,,,,,,,,,,,,
9,3.1686487,7.037697,0.002192378,,,,,,,,,,,,,,
10,39.193512,7.6579165,0.0024360418,,,,,,,,,,,,,,
11,28.279867,9.121834,0.0026795864,,,,,,,,,,,,,,
12,10.305145,6.93096,0.0029232502,,,,,,,,,,,,,,
13,81.74031,9.221671,0.0031667948,,,,,,,,,,,,,,
14,28.133736,17.252134,0.0034103394,,,,,,,,,,,,,,
15,27.908443,17.649782,0.0036540031,,,,,,,,,,,,,,
16,28.073423,15.17865,0.0038975477,,,,,,,,,,,,,,
17,27.87842,9.503334,0.0041412115,,,,,,,,,,,,,,
18,64.20058,15.206447,0.0043848753,,,,,,,,,,,,,,
19,40.31738,26.989494,0.00462842,,,,,,,,,,,,,,
20,43.191048,23.444422,0.0048719645,,,,,,,,,,,,,,
21,36.545506,17.074244,0.005115509,,,,,,,,,,,,,,
22,20.830414,13.200325,0.005359173,,,,,,,,,,,,,,
23,24.065233,10.189412,0.0056027174,,,,,,,,,,,,,,
24,22.368366,14.052486,0.005846381,,,,,,,,,,,,,,
25,21.427666,12.2196865,0.006090045,,,,,,,,,,,,,,
26,50.44566,12.0566635,0.0063335896,,,,,,,,,,,,,,
27,22.046455,18.767626,0.006577134,,,,,,,,,,,,,,
28,21.880466,16.94315,0.006820798,,,,,,,,,,,,,,
29,19.478306,12.023571,0.0070643425,,,,,,,,,,,,,,
30,48.775112,20.861435,0.0073080063,,,,,,,,,,,,,,
31,64.44113,44.236053,0.00755167,,,,,,,,,,,,,,
32,78.07852,34.009644,0.0077952147,,,,,,,,,,,,,,
33,78.31045,46.342327,0.008038759,,,,,,,,,,,,,,
34,64.11221,46.631153,0.008282304,,,,,,,,,,,,,,
35,66.46144,59.466305,0.008525968,,,,,,,,,,,,,,
36,72.20974,36.648026,0.008769512,,,,,,,,,,,,,,
37,58.075985,67.01982,0.009013176,,,,,,,,,,,,,,
38,57.205643,34.838478,0.00925684,,,,,,,,,,,,,,
39,58.01743,45.458294,0.009500384,,,,,,,,,,,,,,
40,69.42952,44.27894,0.009743929,,,,,,,,,,,,,,
41,69.11538,61.5283,0.009987593,,,,,,,,,,,,,,
42,63.44975,66.08138,0.010231137,,,,,,,,,,,,,,
43,55.214817,40.852665,0.010474801,,,,,,,,,,,,,,
44,58.253937,56.643677,0.010718346,,,,,,,,,,,,,,
45,46.304085,39.803177,0.010962009,,,,,,,,,,,,,,
46,45.339596,39.242706,0.011205554,,,,,,,,,,,,,,
47,40.800014,35.59537,0.011449099,,,,,,,,,,,,,,
48,20.737349,26.321224,0.011692762,,,,,,,,,,,,,,
49,27.528877,18.736353,0.011936307,,,,,,,,,,,,,,
50,26.70812,25.422081,0.012179971,,,,,,,,,,,,,,
51,24.287924,28.3662,0.0124236345,,,,,,,,,,,,,,
52,63.30184,44.134956,0.012667179,,,,,,,,,,,,,,
53,35.75299,56.03283,0.012910724,,,,,,,,,,,,,,
54,29.809994,42.524174,0.0131543875,,,,,,,,,,,,,,
55,25.012432,43.985203,0.013397932,,,,,,,,,,,,,,
56,34.58365,39.022026,0.013641596,,,,,,,,,,,,,,
57,23.44593,38.078712,0.01388514,,,,,,,,,,,,,,
58,20.977777,24.37534,0.014128804,,,,,,,,,,,,,,
59,20.80833,18.525908,0.014372349,,,,,,,,,,,,,,
60,30.133987,11.961423,0.014615893,,,,,,,,,,,,,,
61,13.603612,12.643609,0.014859557,,,,,,,,,,,,,,
62,55.4149,22.718254,0.015103102,,,,,,,,,,,,,,
63,14.752819,16.768787,0.0153467655,,,,,,,,,,,,,,
64,12.111367,14.578656,0.015590429,,,,,,,,,,,,,,
65,11.827739,14.482794,0.015833974,,,,,,,,,,,,,,
66,31.960018,22.68644,0.016077518,,,,,,,,,,,,,,
67,16.544744,18.488348,0.016321182,,,,,,,,,,,,,,
68,46.880947,16.644917,0.016564727,,,,,,,,,,,,,,
69,17.454103,33.4314,0.01680839,,,,,,,,,,,,,,
70,17.586653,32.849533,0.017051935,,,,,,,,,,,,,,
71,17.58679,26.882063,0.017295599,,,,,,,,,,,,,,
72,17.125864,15.521447,0.017539144,,,,,,,,,,,,,,
73,30.007204,28.531965,0.017782688,,,,,,,,,,,,,,
74,9.800283,22.914413,0.018026352,,,,,,,,,,,,,,
75,11.040899,20.880527,0.018269897,,,,,,,,,,,,,,
76,26.991543,25.941357,0.01851356,,,,,,,,,,,,,,
77,59.798733,43.312237,0.018757224,,,,,,,,,,,,,,
78,31.646982,25.757257,0.019000769,,,,,,,,,,,,,,
79,17.962488,24.661936,0.019244313,,,,,,,,,,,,,,
80,24.498812,21.621609,0.019487977,,,,,,,,,,,,,,
81,30.036024,18.395325,0.019731522,,,,,,,,,,,,,,
82,23.18792,35.244915,0.019975066,,,,,,,,,,,,,,
83,40.007202,30.53893,0.02021873,,,,,,,,,,,,,,
84,26.921284,44.639324,0.020462394,,,,,,,,,,,,,,
85,82.83892,61.736233,0.020705938,,,,,,,,,,,,,,
86,22.16574,38.94636,0.020949483,,,,,,,,,,,,,,
87,60.01999,59.55968,0.021193147,,,,,,,,,,,,,,
88,20.529947,33.335617,0.021436691,,,,,,,,,,,,,,
89,24.43253,35.715553,0.021680355,,,,,,,,,,,,,,
90,9.543607,22.819572,0.021924019,,,,,,,,,,,,,,
91,15.245583,22.89209,0.022167563,,,,,,,,,,,,,,
92,22.18588,24.082829,0.022411108,,,,,,,,,,,,,,
93,12.362243,19.353668,0.022654772,,,,,,,,,,,,,,
94,31.241386,24.429115,0.022898316,,,,,,,,,,,,,,
95,38.54074,41.915142,0.023141861,,,,,,,,,,,,,,
96,36.47734,36.488724,0.023385525,,,,,,,,,,,,,,
97,72.90214,91.83371,0.023629189,,,,,,,,,,,,,,
98,24.62123,30.3208,0.023872733,,,,,,,,,,,,,,
99,29.957542,33.31399,0.024116278,,,,,,,,,,,,,,
1870,,,,1767.6744,0.944635537887994,3357.909,0.8966179750330672,5348.0,3189.8474,0.899579550301627,2472.0,1498.9153213500977,1791.4969975948334,1498.9153213500977,292.4777708053589,0.04302978515625,0.0
3778,,,,1761.5636,0.9427216791412514,3357.909,0.8966179750330672,5348.0,3189.8474,0.899579550301627,2472.0,2939.066323757172,3333.6576251983643,2939.066323757172,394.3120758533478,0.1529135704040527,0.0
5674,,,,1741.2909,0.9433243196230056,3357.909,0.8966179750330672,5348.0,3189.8474,0.899579550301627,2472.0,4379.437895774841,4877.741508960724,4379.437895774841,497.8450646400452,0.2673842906951904,0.0
7571,,,,,0.9437003215030004,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,5819.900213956833,6423.1954073905945,5819.900213956833,602.6525604724884,0.3865969181060791,0.0
9443,,,,,0.941551240514036,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,7260.170774459839,7967.983366966248,7260.170774459839,706.9931378364563,0.5016071796417236,0.0
11312,,,,,0.9426410101839948,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,8700.004677534103,9512.664865016935,8700.004677534103,811.6660802364349,0.6150405406951904,0.0
13170,,,,,0.9428243251866504,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,10139.851677894592,11059.001514673231,10139.851677894592,917.9832077026368,0.7261960506439209,0.0
15036,,,,,0.9440859096700382,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,11580.125239133837,12604.747716903688,11580.125239133837,1023.2818202972412,0.8359949588775635,0.0
16907,,,,,0.9427990785714666,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,13020.055654287338,14151.050007104874,13020.055654287338,1129.4638831615448,0.9614384174346924,0.0
18750,,,,,0.9423383225986368,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,14460.602375984192,15696.847214698792,14460.602375984192,1234.5303156375885,1.0856029987335205,0.0
20583,,,,,0.9431396916893624,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,15900.596542596815,17242.522210359573,15900.596542596815,1340.0370218753817,1.199878215789795,0.0
22418,,,,,0.9432716912443612,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,17341.00948524475,18789.39042711258,17341.00948524475,1446.3205890655518,1.3096497058868408,0.0
24279,,,,,0.944685667249717,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,18780.919482707977,20336.37385249138,18780.919482707977,1553.2202417850494,1.420874834060669,0.0
26137,,,,,0.9432456399645284,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,20221.24862599373,21882.085154533383,20221.24862599373,1658.4153308868408,1.5412847995758057,0.0
27990,,,,,0.9439109001278072,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,21661.13667273521,23428.089235782623,21661.13667273521,1764.3552904129028,1.655681848526001,0.0
29831,,,,,0.945014370314306,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,23101.117851018906,24973.90958023072,23101.117851018906,1870.0129029750824,1.776472568511963,0.0
31661,,,,,0.9417576703068122,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,24540.94728064537,26519.793244838715,24540.94728064537,1975.892726898193,1.8889307975769043,0.0
33518,,,,,0.9416600198590336,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,25981.39727425576,28066.394894838333,25981.39727425576,2081.86785197258,2.005815267562866,0.0
35380,,,,,0.9447677853176416,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,27421.377655267715,29612.512738466263,27421.377655267715,2187.824649095536,2.123789072036743,0.0
37213,,,,,0.9427091658940504,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,28861.26119184494,31159.491870880127,28861.26119184494,2294.735797405243,2.247039794921875,0.0
39032,,,,,0.9448971433842748,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,30301.365238189697,32705.654407024384,30301.365238189697,2400.617777824402,2.363954305648804,0.0
40855,,,,,0.9432324554919642,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,31741.769375801086,34252.31969022751,31741.769375801086,2506.6976203918457,2.4838998317718506,0.0
42723,,,,,0.941680272071945,,0.8966179750330672,5348.0,,0.899579550301627,2472.0,33181.837324380875,35799.39049935341,33181.837324380875,2613.519208431244,2.601863145828247,0.0
